"","Zipcode","Enrollment","CLASS.Emotional.Support.Score","CLASS.Instructional.Support.Score","Total.ECERS","Max.Score","Year","Number"
"406",10451,32.58823529,6.706666667,2.933333333,49.41538462,57.9,2018,17
"407",10452,57.82352941,6.6,2.635294118,50.15882353,66.5,2018,17
"408",10453,39.63157895,6.631578947,2.821052632,50.36315789,64.2,2018,19
"409",10454,30.52941176,6.717647059,3.452941176,53.21333333,65.7,2018,17
"410",10455,32.2,6.692857143,2.764285714,53.18,64.9,2018,15
"411",10456,33.44,6.424,2.696,48.652,65,2018,25
"412",10457,29.29032258,6.373333333,2.8,49.62903226,62.9,2018,31
"413",10458,62.84615385,6.472727273,2.6,55.98461538,65.8,2018,13
"414",10459,49.66666667,6.588888889,2.333333333,48.26666667,59.9,2018,9
"415",10460,37.70588235,6.605882353,2.970588235,49.24705882,61.1,2018,17
"416",10461,52.58333333,6.833333333,3.675,57.5,63.2,2018,12
"417",10462,65.22222222,6.65,3.2875,56.01111111,64.3,2018,9
"418",10463,36.66666667,6.7,2.655555556,52.60952381,71.5,2018,21
"419",10464,13,7,3.1,51,51,2018,1
"420",10465,40.66666667,6.5,2.911111111,56.02222222,62.8,2018,9
"421",10466,44.33333333,6.570588235,2.905882353,51.66111111,67,2018,18
"422",10467,54.6,6.57,3.015,50.42222222,63.5,2018,20
"423",10468,38,6.492307692,2.815384615,47.75,64.1,2018,14
"424",10469,44.9,6.7,2.881818182,52.52727273,65.9,2018,11
"425",10470,52,6.866666667,3.033333333,51.06666667,61.8,2018,3
"426",10471,46.14285714,6.728571429,2.657142857,55.28571429,61.4,2018,7
"427",10472,40.4,6.835714286,3.65,49.69285714,60.2,2018,15
"428",10473,43.81818182,6.636363636,3.063636364,46.70909091,60.7,2018,11
"429",10474,62.5,6,2.1,52.75,54,2018,2
"430",10475,37.5,6.825,3.625,53.725,60.8,2018,4
"431",11001,36,6.9,3.7,55.8,55.8,2018,1
"432",11004,54,6.85,3.55,52.9,58.6,2018,2
"433",11101,39.55555556,6.7,2.825,56.24444444,64.2,2018,9
"434",11102,35,6.65,3.3,61,66.1,2018,8
"435",11103,47.4,6.72,2.56,57.28,62.1,2018,5
"436",11104,39.85714286,6.671428571,3,59.48571429,70.9,2018,7
"437",11105,40.66666667,6.8,2.925,58.75555556,68,2018,9
"438",11106,23.71428571,6.614285714,2.857142857,56.27142857,62.6,2018,7
"439",11109,34,6.9,3.5,63.3,63.3,2018,1
"440",11201,29,6.838461538,3.415384615,51.78461538,61.8,2018,13
"441",11203,34.39130435,6.552173913,2.991304348,51.35217391,66.7,2018,23
"442",11204,43.76,6.795833333,3.129166667,53.836,69.6,2018,25
"443",11205,28.7,6.7,3.31,50.5,67.1,2018,10
"444",11206,29.94736842,6.589473684,2.784210526,55.71666667,72,2018,19
"445",11207,33.4,6.544,2.7,52.264,64.8,2018,25
"446",11208,43.2173913,6.517391304,2.734782609,49.60869565,63.4,2018,23
"447",11209,40.28571429,6.881818182,3.381818182,55.62857143,67.7,2018,14
"448",11210,33.5625,6.41875,3.00625,48.975,62.7,2018,16
"449",11211,34.5625,6.65625,3,56.625,65.9,2018,16
"450",11212,35.95833333,6.625,2.8125,47.57619048,66.5,2018,24
"451",11213,36.06666667,6.55625,2.66875,50.74285714,64.3,2018,16
"452",11214,60.63636364,6.854545455,3.4,56.19090909,71.2,2018,11
"453",11215,59.5,6.692857143,2.957142857,50.83571429,59.6,2018,14
"454",11216,25.07692308,6.538461538,3.084615385,50.38461538,60.5,2018,13
"455",11217,53.875,6.6,2.8,52.55,62.4,2018,8
"456",11218,41.11111111,6.68125,3.31875,55.72777778,71.9,2018,18
"457",11219,40.77272727,6.728571429,3.557142857,56.00454545,65.3,2018,22
"458",11220,60.35,6.858823529,3.094117647,53.99,63.4,2018,20
"459",11221,25.5,6.607692308,2.834615385,51.47307692,63.9,2018,26
"460",11222,49.4,6.92,2.86,51.06666667,62.9,2018,6
"461",11223,45.84210526,6.684210526,3.289473684,56.52222222,65.5,2018,19
"462",11224,27,6.638461538,3.253846154,48.49230769,66.3,2018,13
"463",11225,31.5,6.566666667,2.866666667,53.81666667,67.5,2018,12
"464",11226,33.15,6.725,2.97,50.7,63,2018,20
"465",11228,45.4,6.86,3.43,55.9,66.5,2018,10
"466",11229,42.5625,6.68125,2.99375,55.875,62.8,2018,16
"467",11230,36.1,6.736842105,3.057894737,55.56,65.6,2018,20
"468",11231,36.75,6.575,3.3,47.3125,53.4,2018,8
"469",11232,42.4,6.625,3.1125,55.13,70.4,2018,10
"470",11233,25.27272727,6.627272727,2.968181818,49.17619048,56.2,2018,22
"471",11234,35.46153846,6.85,3.166666667,49.82307692,63.3,2018,13
"472",11235,36.91666667,6.739130435,3.204347826,55.1125,68.5,2018,24
"473",11236,48.1875,6.55625,2.8375,53.7875,63,2018,16
"474",11237,35.55555556,6.611111111,3.188888889,53.2375,64.9,2018,9
"475",11238,46.875,6.4375,2.9625,53.85,65.1,2018,8
"476",11239,32,6.38,2.94,56.92,64.7,2018,5
"477",11249,31.66666667,6.4,3.566666667,56.23333333,61.5,2018,3
"478",11354,39.29411765,6.594117647,2.705882353,53.01176471,64.9,2018,17
"479",11355,42.44444444,6.644444444,3.177777778,57.42222222,66.7,2018,18
"480",11356,79.5,6.8,3.9,56.1,62.2,2018,2
"481",11357,38.33333333,6.744444444,3.422222222,53.2,59,2018,9
"482",11358,33.27272727,6.672727273,3.290909091,54.11818182,64.4,2018,11
"483",11360,32,6.266666667,2.933333333,53.9,63.6,2018,3
"484",11361,33.66666667,6.722222222,3.444444444,53.2,63.4,2018,9
"485",11362,39.33333333,6.766666667,3.7,59.38333333,65.6,2018,6
"486",11363,24,6.6,3.333333333,58.7,63.9,2018,4
"487",11364,40.33333333,6.675,3.375,52.42222222,61.2,2018,9
"488",11365,34.3,6.56,3.07,48.26,58.6,2018,10
"489",11366,36.33333333,6.666666667,2.866666667,54.48333333,63.1,2018,6
"490",11367,37.18181818,6.527272727,3.309090909,52.40909091,59.8,2018,11
"491",11368,52.20833333,6.7,2.747619048,60.19166667,73.3,2018,24
"492",11369,53.6,6.74,3.22,55.51,63.3,2018,10
"493",11372,55.92857143,6.676923077,2.907692308,54.18461538,64,2018,14
"494",11373,52.73684211,6.694444444,2.688888889,57.47894737,69.8,2018,19
"495",11374,39.90909091,6.63,3.17,53.31,64.2,2018,11
"496",11375,41.8125,6.635714286,3.078571429,50.6875,65.3,2018,16
"497",11377,37.5,6.773684211,2.710526316,58.905,69.6,2018,20
"498",11378,34.66666667,6.483333333,2.916666667,58.81666667,70.2,2018,6
"499",11379,42.5,6.733333333,3.266666667,55.16666667,65,2018,6
"500",11385,41.1875,6.73125,3.075,59.25625,68.7,2018,16
"501",11411,37.2,6.38,2.76,49.82,59.9,2018,5
"502",11412,39.6,6.53,2.81,53.09,67.5,2018,10
"503",11413,28,6.3625,3.025,48.54444444,62.4,2018,9
"504",11414,35.4,6.92,2.88,55.64,63.3,2018,5
"505",11415,51.5,6.7,3.216666667,54.96666667,59.2,2018,6
"506",11416,63.83333333,6.78,2.8,56.95,63,2018,6
"507",11417,66.66666667,6.5,3.8,58.8,64.4,2018,3
"508",11418,38.90909091,6.563636364,2.963636364,56.68181818,69.9,2018,11
"509",11419,28.11111111,6.766666667,3.133333333,54.25555556,68.2,2018,9
"510",11420,32.63636364,6.681818182,3.272727273,56.05454545,64.6,2018,11
"511",11421,41.33333333,6.66,3.38,51.96666667,60.4,2018,6
"512",11422,43.83333333,6.483333333,2.983333333,51.75,59.5,2018,6
"513",11423,33.5,6.683333333,2.7,50.95,57.4,2018,6
"514",11426,37.5,6.5,2.925,60.625,62.3,2018,4
"515",11427,42.5,6.5,2.8,48.95,52.5,2018,4
"516",11428,58.33333333,6.6,3.366666667,54.13333333,58.9,2018,3
"517",11429,35.16666667,6.7,3.2,53.7,62.9,2018,6
"518",11432,38.83333333,6.65,3.055555556,55.77222222,65.6,2018,18
"519",11433,36.75,6.4,2.675,52.9625,63.8,2018,8
"520",11434,32,6.473684211,2.889473684,49.82631579,65.7,2018,19
"521",11435,39.5,6.6,2.8,50.4,68.7,2018,12
"522",11436,30,6.75,3.675,50.975,53.3,2018,4
"523",11451,14,6.3,2.8,45.2,45.2,2018,1
"524",11691,44.84615385,6.516666667,2.766666667,51.05,64.8,2018,13
"525",11692,23.33333333,6.133333333,2.55,46.15,52.7,2018,6
"526",11693,22.66666667,6.833333333,3.966666667,55.36666667,57.4,2018,3
"527",11694,34.75,6.75,3.325,54.85,62.5,2018,4
"528",11697,34,6.8,2.9,48.2,48.2,2018,1
